ensgs,enformer_set,sel_start,sel_end,tss,chrom
ENSG00000106976,train,128112439,128243511,128191655,9
ENSG00000187775,train,78496794,78627866,78577394,17
ENSG00000100413,train,41444514,41575586,41544606,22
ENSG00000146918,train,158657376,158788448,158704829,7
ENSG00000186660,train,58492607,58623679,58579111,11
ENSG00000160551,train,29297544,29428616,29390464,17
ENSG00000131187,train,177343395,177474467,177409576,5
ENSG00000181852,train,56174591,56305663,56221933,12
ENSG00000104059,train,29502460,29633532,29570723,15
ENSG00000197520,train,222662509,222793581,222737207,1
ENSG00000137075,train,36417445,36548517,36487548,9
ENSG00000132470,train,75610438,75741510,75721328,17
ENSG00000163818,train,45832958,45964030,45916042,3
ENSG00000162148,train,61378963,61510035,61481120,11
ENSG00000005339,train,3814742,3945814,3880726,16
ENSG00000122643,train,33000189,33131261,33062797,7
ENSG00000072778,train,7116610,7247682,7217125,17
ENSG00000111639,train,6438702,6569774,6493841,12
ENSG00000125319,train,44057319,44188391,44141906,17
ENSG00000159261,train,36491790,36622862,36576569,21
ENSG00000185507,train,519193,650265,615999,11
ENSG00000146701,train,75973278,76104350,76048051,7
ENSG00000196072,train,100218370,100349442,100286712,10
ENSG00000165917,test,47346273,47477345,47449178,11
ENSG00000155622,test,52343366,52474438,52369030,X
ENSG00000001561,train,46050288,46181360,46129993,6
ENSG00000105854,train,95324983,95456055,95435329,7
ENSG00000156049,train,77601209,77732281,77648307,9
ENSG00000197191,train,137137491,137268563,137224635,9
ENSG00000251012,train,119092387,119223459,119147375,3
ENSG00000174938,train,29835113,29966185,29899547,16
ENSG00000134323,train,15884958,16016030,15940564,2
ENSG00000132600,train,68225149,68356221,68310974,16
ENSG00000081803,train,122810964,122942036,122886759,7
ENSG00000127837,valid,218246194,218377266,218270257,2
ENSG00000105369,test,41806377,41937449,41877120,19
ENSG00000280165,train,61319562,61450634,61415522,13
ENSG00000100139,train,37836569,37967641,37905657,22
ENSG00000113648,train,135324233,135455305,135399914,5
ENSG00000132010,test,12073092,12204164,12140407,19
ENSG00000107014,train,5257920,5388992,5304969,9
ENSG00000106648,train,151900679,152031751,151956379,7
ENSG00000120659,train,42492649,42623721,42562736,13
ENSG00000167580,train,49877087,50008159,49950741,12
ENSG00000249967,train,97528811,97659883,97584374,10
ENSG00000186335,train,151261479,151392551,151347590,5
ENSG00000147246,valid,114560576,114691648,114584078,X
ENSG00000102858,train,4536331,4667403,4616493,16
ENSG00000148602,train,84146615,84277687,84241461,10
ENSG00000111490,train,64702461,64833533,64781193,12
ENSG00000204843,train,74332432,74463504,74392087,2
ENSG00000115944,train,42320120,42451192,42425088,2
ENSG00000161217,test,196202254,196333326,196287957,3
ENSG00000170128,train,200818042,200949114,200872955,1
ENSG00000170915,train,52282193,52413265,52361421,6
ENSG00000113211,train,141093634,141224706,141150022,5
ENSG00000241598,train,1568777,1699849,1622138,11
ENSG00000121766,train,31193810,31324882,31296982,1
ENSG00000121742,train,20123390,20254462,20232395,13
ENSG00000120784,na,na,na,37692337,19
ENSG00000176102,test,33124837,33255909,33162371,11
ENSG00000184939,train,68421946,68553018,68530090,16
ENSG00000110665,train,2224767,2355839,2303049,11
ENSG00000124207,valid,48938420,49069492,49046246,20
ENSG00000177628,train,155161138,155292210,155244699,1
ENSG00000110092,train,69578838,69709910,69641087,11
ENSG00000188011,valid,241771272,241902344,241869600,2
ENSG00000081181,test,67551715,67682787,67619798,14
ENSG00000183734,train,2224767,2355839,2270952,11
ENSG00000182168,train,95460024,95591096,95549206,4
ENSG00000033030,train,122429581,122560653,122501073,12
ENSG00000163283,valid,232352941,232484013,232378534,2
ENSG00000255872,train,37991821,38122893,38068687,9
ENSG00000158195,train,27410602,27541674,27490158,1
ENSG00000083635,train,44919812,45050884,44989483,13
ENSG00000110066,train,68135660,68266732,68213828,11
ENSG00000215695,train,15562745,15693817,15659869,1
ENSG00000131375,train,15097770,15228842,15206152,3
ENSG00000177830,train,847188,978260,915058,11
ENSG00000187475,train,26037204,26168276,26108136,6
ENSG00000196517,train,43985615,44116687,44031467,1
ENSG00000139835,train,113286619,113417691,113364148,13
ENSG00000257115,na,na,na,18601045,14
ENSG00000235173,train,144031733,144162805,144137769,8
ENSG00000090238,train,30031910,30162982,30096915,16
ENSG00000100314,train,29636694,29767766,29720084,22
ENSG00000148832,train,133302704,133433776,133379234,10
ENSG00000147251,test,118430590,118561662,118495898,X
ENSG00000176399,train,22379259,22510331,22446841,9
ENSG00000102760,train,41377466,41508538,41457559,13
ENSG00000173175,train,123356322,123487394,123449758,3
ENSG00000183791,na,na,na,47030078,18
ENSG00000231051,na,na,na,9348893,4
ENSG00000168005,train,63740527,63871599,63813388,11
ENSG00000155962,na,na,na,155334657,X
ENSG00000183269,train,5767113,5898185,5857734,11
ENSG00000099260,train,99547968,99679040,99645943,1
ENSG00000065911,train,74135635,74266707,74198562,2
ENSG00000176988,valid,147916276,148047348,147981329,X
ENSG00000109536,train,189856985,189988057,189940788,4
ENSG00000228486,train,97620816,97751888,97664217,2
ENSG00000126391,train,65314903,65445975,65386599,11
ENSG00000130119,valid,54471051,54602123,54530211,X
ENSG00000243646,train,33211840,33342912,33266358,21
ENSG00000122386,train,3027554,3158626,3112560,16
ENSG00000171773,train,17371212,17502284,17460954,19
ENSG00000174173,train,101511855,101642927,101561862,3
ENSG00000169676,train,9716510,9847582,9781680,4
ENSG00000198822,train,86534717,86665789,86643914,7
ENSG00000117155,train,84591396,84722468,84690803,1
ENSG00000178229,test,57261921,57392993,57320509,19
ENSG00000101019,na,na,na,35412141,20
ENSG00000184361,train,45172502,45303574,45262112,17
ENSG00000185634,train,48854165,48985237,48963444,15
ENSG00000188603,train,28457534,28588606,28495575,16
ENSG00000143556,train,153389965,153521037,153460701,1
ENSG00000165782,test,20414536,20545608,20461612,14
ENSG00000125818,na,na,na,1113263,20
ENSG00000142657,train,10290175,10421247,10398592,1
ENSG00000165271,train,33399891,33530963,33473930,9
ENSG00000005238,train,35039866,35170938,35116341,9
ENSG00000167825,valid,55841353,55972425,55936400,11
ENSG00000161513,train,74823250,74954322,74873031,17
ENSG00000085224,valid,77723022,77854094,77786269,X
ENSG00000182111,na,na,na,57450177,7
ENSG00000122359,train,80145076,80276148,80205572,10
ENSG00000140749,train,21569639,21700711,21652660,16
ENSG00000068024,valid,239362803,239493875,239401654,2
ENSG00000275691,train,56614126,56745198,56676132,16
ENSG00000116266,train,108666229,108797301,108746674,1
ENSG00000169379,train,93902371,94033443,93980139,3
ENSG00000166546,train,66322778,66453850,66427297,16
ENSG00000179407,train,128407445,128538517,128467248,3
ENSG00000196734,train,152733975,152865047,152811971,1
ENSG00000149599,valid,31849759,31980831,31870747,20
ENSG00000161609,train,49334074,49465146,49388218,19
ENSG00000163132,train,4787101,4918173,4859666,4
ENSG00000168952,test,25002096,25133168,25050297,14
ENSG00000083720,train,41786579,41917651,41870519,5
ENSG00000184227,na,na,na,73537114,14
ENSG00000168970,train,41769473,41900545,41828095,15
ENSG00000101193,na,na,na,62938119,20
ENSG00000104177,train,48132576,48263648,48178517,15
ENSG00000135372,test,34042349,34173421,34105602,11
ENSG00000104998,train,13960064,14091136,14031748,19
ENSG00000138271,train,151235897,151366969,151316952,3
ENSG00000126882,train,131195592,131326664,131276547,9
ENSG00000213445,train,65577299,65708371,65638097,11
ENSG00000156171,train,111093392,111224464,111140216,1
ENSG00000121578,train,119157986,119289058,119241103,3
ENSG00000187902,na,na,na,55442863,19
ENSG00000135631,train,73086051,73217123,73156721,2
ENSG00000054983,test,87966357,88097429,87993665,14
ENSG00000119917,train,89263337,89394409,89327894,10
ENSG00000261667,train,142982149,143113221,143080457,8
ENSG00000144231,train,127750727,127881799,127858157,2
ENSG00000122694,train,36089450,36220522,36136536,9
ENSG00000254706,train,162311429,162442501,162365407,1
ENSG00000130640,train,133237105,133368177,133312337,10
ENSG00000174498,train,65319514,65450586,65378040,15
ENSG00000105246,train,4127138,4258210,4229498,19
ENSG00000105518,test,11270269,11401341,11346518,19
ENSG00000188389,valid,241771272,241902344,241858908,2
ENSG00000278705,train,25971605,26102677,26027252,6
ENSG00000002834,train,38809399,38940471,38869859,17
ENSG00000154359,train,12677939,12809011,12756073,8
ENSG00000166592,train,66847570,66978642,66925644,16
ENSG00000125846,train,18239909,18370981,18288283,20
ENSG00000277058,na,na,na,13060869,1
ENSG00000164253,train,77530189,77661261,77620611,5
ENSG00000100678,na,na,na,70189070,14
ENSG00000162378,train,52644683,52775755,52726467,1
ENSG00000176782,na,na,na,7836471,8
ENSG00000117616,na,na,na,25338213,1
ENSG00000198443,train,41105364,41236436,41185342,17
ENSG00000197299,train,90617570,90748642,90717327,15
ENSG00000075275,train,46430038,46561110,46537170,22
ENSG00000188372,train,76301273,76432345,76397518,7
ENSG00000173369,train,22556276,22687348,22652762,1
ENSG00000276043,train,4848727,4979799,4903080,19
ENSG00000174059,train,207837135,207968207,207911402,1
ENSG00000167552,train,49089899,49220971,49189324,12
ENSG00000103021,train,58122903,58253975,58231157,16
ENSG00000260220,train,136219105,136350177,136306901,9
ENSG00000179715,train,46990731,47121803,47079603,12
ENSG00000163359,na,na,na,237414375,2
ENSG00000146678,train,45791994,45923066,45888357,7
ENSG00000143341,train,185664673,185795745,185734551,1
ENSG00000273274,train,32374592,32505664,32465069,1
ENSG00000104714,train,663518,794590,738106,8
